Intensity	moverz	RT_minutes
1489220.625	727.57751	1.401
803723	812.54669	1.273
1270306	391.05508	1.848
576524.125	188.17657	4.109
1237416.375	153.06642	0.492
658383	854.55682	1.281
1138988	346.02136	3.594
815849.1875	842.59308	1.114
1029098.813	606.33307	2.903
440495.1875	349.00928	2.592
502544.7813	156.11371	1.622
389520.5313	689.01855	3.773
1001309.375	414.89917	2.342
511339.3125	233.99428	0.702
980040.3125	534.29761	1.53
340681.7813	146.08162	2.66
336354.7188	533.88696	2.658
818324.3125	594.37903	1.378
557934.4375	196.18167	0.223
430216.875	144.033	3.744
486205.2813	564.36108	0.419
671081.5	748.5304	1.099
1131292.375	855.99359	2.439
190488.0469	485.0061	3.963
1003412.188	768.5564	1.219
785613.125	159.1498	1.733
421038.75	184.04623	3.742
483626.7813	160.03517	2.559
720341.8125	429.02353	3.893
638367.875	102.05533	3.89
336233.5625	780.5929	1.037
745930.5	770.57159	1.225
837954.3125	298.14493	0.573
241477.3906	461.98993	3.975
663958.0625	754.54095	1.214
496711.1875	840.62561	1.084
347799.625	846.55225	1.266
949229.25	754.01141	2.451
611132.5625	520.33496	0.723
670486.0625	177.04419	1.849
676813.0625	610.85382	2.332
1000551.563	312.21811	1.535
448590.4375	287.12231	0.631
546777.9375	724.53027	1.11
268295.0625	882.58887	1.287
693091.8125	884.02472	2.452
727587.1875	802.02185	2.445
545729.8125	264.92883	2.307
306180.3438	764.56256	1.084
273023.5313	692.02148	3.932
490000.6875	392.1647	0.883
528869.25	389.05804	1.847
512889.625	230.15474	0.91
497633.4122	713.06958	1.847
387159.75	150.12819	0.584
644415.6875	794.55103	2.022
272060.1563	823.64252	1.067
198060.4063	816.59253	1.052
487303.7188	248.02142	0.705
346176.9375	469.02823	3.75
411291.9375	282.28024	0.751
453486	247.18134	0.914
205110.1719	552.40491	1.459
405997.1563	300.29089	0.751
454277.5313	499.05905	1.848
427544.625	711.07257	1.847
236634.3594	284.19806	2.866
337295.4375	168.94954	2.306
475096.0938	656.83832	2.321
111443.4666	154.1232	1.895
394793.1875	837.1203	3.802
439410.25	274.20236	1.575
310089.9688	236.16542	0.965
342183.6875	316.12256	0.594
422025.8125	807.64032	1.378
378358.6563	235.11978	0.712
187502.2344	160.0974	0.621
337169.8125	497.06201	1.848
285832.6563	792.55646	1.095
265823.0625	487.03925	3.742
285964.9063	280.19183	0.797
196264.9063	968.55872	1.081
201648.0938	310.11472	3.322
192242.5625	608.3877	0.515
406023.3125	518.32611	1.587
129077.9375	493.0647	3.637
292253.6875	154.09801	0.844
344842.0313	825.651	1.411
322060.1563	566.31085	1.421
251046.5156	822.60284	1.09
260577.625	564.36115	0.776
215069.875	836.54706	1.279
166026.0313	951.53186	1.06
291563.2813	848.58282	1.229
139757.7188	810.51025	3.282
236705.2344	580.36322	1.401
343242.7188	526.78577	3.733
330435.6875	883.9826	2.434
295963.0938	400.88342	2.342
131867	289.98178	3.56
221952.2656	257.10052	2.19
256154.125	187.1449	2.267
194989.2813	774.547	1.084
199310.6406	597.237	1.402
221110	858.49744	1.23
212949.4219	235.06177	2.133
336191.7813	167.09334	0.479
221654.6094	865.62915	1.079
274932.2813	200.03682	2.205
178212.4063	370.05383	3.117
143981.0625	526.41235	0.997
255545.6875	425.93738	1.031
152560.2188	202.08707	0.953
261780.75	708.8316	2.335
223145.8125	247.02649	0.695
205903.7031	258.28009	0.696
168218.9688	214.14468	1.93
193852.6406	246.01599	0.702
133227.4531	369.22623	4.358
203928.2031	280.19189	0.977
136389.8438	828.55511	1.087
133249.8594	357.25137	4.31
277344	792.79279	2.325
105801.0469	262.15994	0.61
252199.75	460.88388	2.314
202920.7188	874.07666	1.85
206922.6406	181.03825	1.848
130480.2578	278.17612	0.521
125948.7109	300.16052	0.627
207434.7031	208.134	1.411
117561.8047	230.17595	0.696
183105.3125	413.03693	3.912
176232.1094	872.07935	1.845
156286.7813	211.00508	0.704
210321.7813	415.07001	3.69
136506.3906	134.11803	1.575
162778.1719	174.10324	1.382
157775.2031	503.05316	1.85
118288.7188	992.55872	1.054
192959.8594	754.8161	2.326
127569.0703	416.97049	0.7
119472.2188	868.65546	1.18
122033.2656	498.38104	1.004
125110.3672	272.16544	0.762
124671.2344	880.57275	1.289
175775.8906	890.77063	2.33
141589	284.12915	0.65
112737.6641	738.52576	2.91
115717.2813	608.38782	0.847
114496.5313	269.03204	0.693
145377.0938	273.16077	2.025
121564.1016	873.07794	1.842
136342.0625	213.12416	0.525
122563.5938	213.12421	0.588
133059.2344	257.98364	1.914
135289.3281	550.06561	1.846
116469.8047	228.00543	0.694
115107.2344	232.04463	1.848
110084.1797	606.06409	1.846
104019.1172	280.17078	0.943
123789.875	181.09781	0.595
101102.9375	819.07617	1.846
105915.6172	492.34659	1.462
5420477.5	650.98535	2.452
2528911.25	832.58832	1.083
1694104.625	225.20822	2.281
2048799.5	124.0248	3.74
1872910.75	660.07214	3.766
714377.3125	147.07695	3.367
3482194.25	317.06625	3.768
2553798.6	166.95142	2.306
1655366.25	175.98595	0.297
3026614.25	184.07396	1.457
766071.875	350.017	1.89
2167239.5	838.56171	1.279
1008488.813	348.07196	3.116
2089519.125	170.09308	3.522
2485302	166.08684	2.018
